Rank,Team,Conf,W-L,Pyth,AdjO,AdjD,AdjT,Luck,Pyth,OppO,OppD,Pyth
193,Florida,Atlantic,SB,21-11,.4243,100.3,193,103.0,195,64.1,289,+.134
194,Arkansas,St.,SB,17-15,.4142,98.9,224,101.9,165,65.6,229,+.002
195,DePaul,BE,7-24,.4128,101.8,162,105.0,241,69.7,46,-.045,290
196,Delaware,CAA,14-17,.4061,98.5,231,101.9,163,64.7,262,+.058,44
197,St.,Francis,NY,NEC,15-15,.4025,97.6,246,101.0,138,67.5,121
198,Drake,MVC,13-18,.3997,99.9,203,103.5,211,66.0,206,-.010,205
199,Hampton,16,MEAC,24-9,.3981,93.8,295,97.2,70,67.8,107,+.108
200,Mercer,ASun,15-18,.3978,99.4,214,103.0,197,66.5,175,-.001,183
Strength,of,Schedule,NCSOS,,,,,,,,,
Rank,Team,Conf,W-L,Pyth,AdjO,AdjD,AdjT,Luck,Pyth,OppO,OppD,Pyth
201,Loyola,Marymount,WCC,11-21,.3962,100.1,196,103.8,218,67.7,111,-.100
202,VMI,BSth,18-13,.3934,109.6,50,113.8,340,75.6,2,-.017,225
203,Appalachian,St.,SC,16-15,.3921,103.4,125,107.4,279,66.9,154,+.044
204,Tennessee,Tech,OVC,20-13,.3866,99.6,207,103.7,216,70.8,26,+.058
205,Tulane,CUSA,13-17,.3862,100.1,199,104.2,225,65.8,219,-.126,341
206,McNeese,St.,Slnd,21-12,.3851,104.3,112,108.6,302,66.6,169,+.084
207,UNC,Wilmington,CAA,13-18,.3794,99.9,202,104.3,227,63.4,311,+.002
208,Lafayette,Pat,13-19,.3745,101.5,168,106.1,257,65.9,217,-.031,262
209,Maine,AE,15-15,.3740,103.2,132,108.0,289,66.3,188,-.054,300
210,William,&,Mary,CAA,10-22,.3722,101.8,161,106.6,266,64.6,269
211,Siena,MAAC,13-18,.3710,97.1,254,101.6,157,69.2,54,-.005,194
212,Columbia,Ivy,15-13,.3704,98.9,225,103.5,212,68.3,85,+.038,82
213,Arkansas,Little,Rock,16,SB,19-17,.3699,99.7,204,104.4,231,65.3
214,North,Florida,ASun,15-19,.3699,97.9,242,102.5,183,66.9,159,+.087
215,Stony,Brook,AE,15-17,.3672,93.0,303,97.5,75,63.6,307,-.039
216,UTSA,16,Slnd,20-14,.3669,100.9,184,105.8,250,67.5,120,+.086
217,Denver,SB,13-17,.3644,97.1,252,101.9,167,57.9,345,-.057,305
218,Holy,Cross,Pat,8-21,.3598,100.3,194,105.4,245,66.1,202,-.150
219,Pepperdine,WCC,12-21,.3584,102.7,145,108.0,291,67.1,146,+.006,165
220,Georgia,St.,CAA,12-19,.3568,93.2,299,98.1,87,64.4,279,-.031
221,Cal,St.,Northridge,BW,14-18,.3531,98.7,226,104.1,222,69.0,60
222,Charleston,Southern,BSth,16-16,.3526,101.1,180,106.6,264,67.2,142,-.061
223,Western,Kentucky,SB,16-16,.3517,98.6,230,103.9,221,68.2,90,+.018
224,Winthrop,BSth,13-17,.3509,94.8,286,100.0,121,66.0,207,-.040,277
225,UC,Irvine,BW,13-19,.3502,101.0,183,106.6,268,70.9,25,-.049
226,Auburn,SEC,11-20,.3501,94.9,284,100.2,126,65.9,214,+.001,178
227,Charlotte,A10,10-20,.3499,98.7,228,104.2,223,65.4,238,-.011,208
228,Southern,Illinois,MVC,13-19,.3475,94.6,289,99.9,119,64.7,263,+.034
229,Stephen,F.,Austin,Slnd,18-11,.3474,94.8,285,100.1,124,60.3,343
230,Wagner,NEC,13-17,.3441,99.0,223,104.7,236,68.2,91,+.027,111
231,Wyoming,MWC,10-21,.3420,96.5,266,102.2,172,68.1,94,-.056,304
232,Louisiana,Lafayette,SB,14-15,.3381,97.6,249,103.4,209,69.0,59,+.030
233,Houston,CUSA,12-18,.3349,99.6,210,105.7,248,67.0,153,+.006,166
234,Liberty,BSth,19-13,.3310,96.4,267,102.5,182,65.7,224,+.086,18
235,Elon,SC,14-17,.3276,102.8,143,109.5,307,68.4,76,-.014,219
236,Illinois,St.,MVC,12-19,.3264,94.2,291,100.3,127,63.5,310,-.008
237,Tennessee,St.,OVC,14-16,.3258,100.1,198,106.6,269,65.7,222,+.022
238,Brown,Ivy,11-17,.3247,101.0,182,107.7,282,70.0,40,-.029,252
239,Bowling,Green,MAC,14-19,.3219,96.8,260,103.2,204,65.5,233,+.017
240,Eastern,Kentucky,OVC,15-16,.3198,100.6,189,107.4,277,62.0,327,-.027
Strength,of,Schedule,NCSOS,,,,,,,,,
Rank,Team,Conf,W-L,Pyth,AdjO,AdjD,AdjT,Luck,Pyth,OppO,OppD,Pyth
241,Nicholls,St.,Slnd,14-14,.3175,95.3,281,101.8,162,61.2,335,-.051
242,Morgan,St.,MEAC,17-14,.3174,93.2,300,99.6,110,66.7,164,+.042
243,Albany,AE,16-16,.3122,99.5,211,106.6,267,61.4,333,+.025,117
244,LSU,SEC,11-21,.3111,92.6,307,99.2,105,66.3,187,-.055,302
